		Lidar									camera			
														
Detector	Descriptor	1	2	3	4	5		Detector	Descriptor	1	2	3	4	5
ShiThomasi	Brisk	12.28	13.35	13.79	12.05	11.86		ShiThomasi	Brisk	12.32	12.69	inf	inf	inf
														
														
AKAZE	AKAZE	12.2	13.3	16.38	14.017	12.72		AKAZE	AKAZE	15.9	19.6	14.93	14.016	15.15
														
														
FAST	Brisk	12.2	13.3	16.38	14.51	12.72		FAST	Brisk	5.8	20.6	11.8	11.51	Nan
	Brief	12.28	13.35	13.79	12.05	12.8			Brief	38.76	62.5	16.44	11.53	18.5
	Orb	12.28	13.35	16.38	14.07	12.72			Orb	10.80	44.37	38.31	13.78	-19
	Sift	12.2	13.3	16.38	14.07	11.9			Sift	47.6	44.3	11.2	12.2	29.5
														
														
ORB	Brief	12.28	13.35	16.38	14.07	12.72			Brief	12.99	inf	70.7	46.16	24
														
														
